permission,permission_type,permission_id,display_name,description,admin_consent_required,severity,severity_score,privileged,risk_family,resource,operation,constraint,scope_model,broad_scope,limited_or_resource_scoped,write_capability,read_capability,delete_capability,send_or_impersonation_capability,privilege_assignment_capability,control_plane,auth_or_credential_surface,business_data_exposure,security_data_exposure,device_management_surface,destructive_capability,recommended_handling,least_privilege_hint,risk_rationale,source,source_section,source_url,catalog_date,programmatic_catalog_query,risk_model,notes
IdentityNotifications.ReadWrite.All,Delegated,c9c9fdea-4ecc-4d82-a2ea-3feff3489275,Read and write identity notification settings and templates,"Allows the app to read and write identity notification settings, customize email templates, and send test emails on behalf of the signed-in user.",Yes,Medium,55,false,Business data / collaboration data,IdentityNotifications,ReadWrite,All,Delegated/user-bounded permission,true,false,true,true,false,true,false,false,false,true,false,false,false,Review context / prefer least-privileged alternative,,delegated token; bounded by signed-in user privileges; admin consent required; tenant/org/all scope; write/manage/action capability; send/notification/impersonation-abuse capability; business/collaboration/user data exposure; send capability minimum risk floor,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
IdentityRiskyAgent.ReadWrite.All,Delegated,d343bdeb-db6a-4e06-97da-9dafc2d61c60,Read and write risky agents information,Allows the app to read and update identity risky agents information for all agents in your organization on behalf of the signed-in user. Update operations include dismissing risky agents.,Yes,Medium,55,false,Security / audit / compliance data,IdentityRiskyAgent,ReadWrite,All,Delegated/user-bounded permission,true,false,true,true,false,false,false,false,false,false,true,false,false,Review context / prefer least-privileged alternative,Restrict to approved security tooling; monitor for mass export or write actions.,delegated token; bounded by signed-in user privileges; admin consent required; tenant/org/all scope; write/manage/action capability; security/audit/compliance data exposure,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
IndustryData-DataConnector.ReadWrite.All,Delegated,5ce933ac-3997-4280-aed0-cc072e5c062a,Manage data connector definitions,Allows the app to read and write data connectors on behalf of the signed-in user.,Yes,Medium,55,false,Low-risk or narrow resource access,IndustryData-DataConnector,ReadWrite,All,Delegated/user-bounded permission,true,false,true,true,false,false,false,false,false,false,false,false,false,Review context / prefer least-privileged alternative,,delegated token; bounded by signed-in user privileges; admin consent required; tenant/org/all scope; write/manage/action capability,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
IndustryData-InboundFlow.ReadWrite.All,Delegated,97044676-2cec-40ee-bd70-38df444c9e70,Manage inbound flow definitions,Allows the app to read and write inbound data flows on behalf of the signed-in user.,Yes,Medium,55,false,Low-risk or narrow resource access,IndustryData-InboundFlow,ReadWrite,All,Delegated/user-bounded permission,true,false,true,true,false,false,false,false,false,false,false,false,false,Review context / prefer least-privileged alternative,,delegated token; bounded by signed-in user privileges; admin consent required; tenant/org/all scope; write/manage/action capability,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
IndustryData-OutboundFlow.ReadWrite.All,Delegated,aeb68e0b-e562-4a1f-b6dd-3484ad0cbb4b,Manage outbound flow definitions,Allows the app to read and write outbound data flows on behalf of the signed-in user.,Yes,Medium,55,false,Low-risk or narrow resource access,IndustryData-OutboundFlow,ReadWrite,All,Delegated/user-bounded permission,true,false,true,true,false,false,false,false,false,false,false,false,false,Review context / prefer least-privileged alternative,,delegated token; bounded by signed-in user privileges; admin consent required; tenant/org/all scope; write/manage/action capability,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
IndustryData-ReferenceDefinition.ReadWrite.All,Delegated,a757d430-be6d-430f-af57-28aabe79d247,Manage reference definitions,Allows the app to read and write reference definitions on behalf of the signed-in user.,Yes,Medium,55,false,Low-risk or narrow resource access,IndustryData-ReferenceDefinition,ReadWrite,All,Delegated/user-bounded permission,true,false,true,true,false,false,false,false,false,false,false,false,false,Review context / prefer least-privileged alternative,,delegated token; bounded by signed-in user privileges; admin consent required; tenant/org/all scope; write/manage/action capability,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
IndustryData-SourceSystem.ReadWrite.All,Delegated,9599f005-05d6-4ea7-b1b1-4929768af5d0,Manage source system definitions,Allows the app to read and write source system definitions on behalf of the signed-in user.,Yes,Medium,55,false,Low-risk or narrow resource access,IndustryData-SourceSystem,ReadWrite,All,Delegated/user-bounded permission,true,false,true,true,false,false,false,false,false,false,false,false,false,Review context / prefer least-privileged alternative,,delegated token; bounded by signed-in user privileges; admin consent required; tenant/org/all scope; write/manage/action capability,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
IndustryData-TimePeriod.ReadWrite.All,Delegated,b6d56528-3032-4f9d-830f-5a24a25e6661,Manage time period definitions,Allows the app to read and write time period definitions on behalf of the signed-in user.,Yes,Medium,55,false,Low-risk or narrow resource access,IndustryData-TimePeriod,ReadWrite,All,Delegated/user-bounded permission,true,false,true,true,false,false,false,false,false,false,false,false,false,Review context / prefer least-privileged alternative,,delegated token; bounded by signed-in user privileges; admin consent required; tenant/org/all scope; write/manage/action capability,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
LearningContent.ReadWrite.All,Delegated,53cec1c4-a65f-4981-9dc1-ad75dbf1c077,Manage learning content,"Allows the app to manage learning content in the organization's directory, on behalf of the signed-in user.",Yes,Medium,55,false,Low-risk or narrow resource access,LearningContent,ReadWrite,All,Delegated/user-bounded permission,true,false,true,true,false,false,false,false,false,false,false,false,false,Review context / prefer least-privileged alternative,,delegated token; bounded by signed-in user privileges; admin consent required; tenant/org/all scope; write/manage/action capability,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
LearningProvider.ReadWrite,Delegated,40c2eb57-abaf-49f5-9331-e90fd01f7130,Manage learning provider,"Allows the app to create, update, read, and delete data for the learning provider in the organization's directory, on behalf of the signed-in user.",Yes,Medium,55,false,Low-risk or narrow resource access,LearningProvider,ReadWrite,,Delegated/user-bounded permission,true,false,true,true,true,false,false,false,false,false,false,false,true,Review context / prefer least-privileged alternative,,delegated token; bounded by signed-in user privileges; admin consent required; tenant/org/all scope; write/manage/action capability; delete/full-control/destructive capability,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
LicenseAssignment.ReadWrite.All,Delegated,f55016cc-149c-447e-8f21-7cf3ec1d6350,Manage all license assignments,"Allows an app to manage license assignments for users and groups, on behalf of the signed-in user.",Yes,Medium,55,false,Business data / collaboration data,LicenseAssignment,ReadWrite,All,Delegated/user-bounded permission,true,false,true,true,false,false,false,false,false,true,false,false,false,Review context / prefer least-privileged alternative,,delegated token; bounded by signed-in user privileges; admin consent required; tenant/org/all scope; write/manage/action capability; business/collaboration/user data exposure,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
LifecyclePolicies-Guests.ReadWrite.All,Delegated,d9ec82ed-63db-4905-b1b3-859b74d2bbf5,Read and write identity lifecycle policies for external guests,"Allows the app to create, update, and delete identity lifecycle policies for external guests on behalf of the signed-in user.",Yes,Medium,55,false,Low-risk or narrow resource access,LifecyclePolicies-Guests,ReadWrite,All,Delegated/user-bounded permission,true,false,true,true,true,false,false,false,false,false,false,false,true,Review context / prefer least-privileged alternative,,delegated token; bounded by signed-in user privileges; admin consent required; tenant/org/all scope; write/manage/action capability; delete/full-control/destructive capability,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
LifecycleWorkflows-CustomExt.ReadWrite.All,Delegated,ef6bafb1-3019-4a22-a332-103aff92225f,Read and write all Lifecycle workflows custom task extensions,"Allows the app to create, update, list, read and delete all Lifecycle workflows custom task extensions on behalf of a signed-in user.",Yes,Medium,55,false,Low-risk or narrow resource access,LifecycleWorkflows-CustomExt,ReadWrite,All,Delegated/user-bounded permission,true,false,true,true,true,false,false,false,false,false,false,false,true,Review context / prefer least-privileged alternative,,delegated token; bounded by signed-in user privileges; admin consent required; tenant/org/all scope; write/manage/action capability; delete/full-control/destructive capability,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
LifecycleWorkflows-Workflow.ReadWrite.All,Delegated,29e49f0c-a053-4cc5-a4b1-7da0c8c1e643,Read and write all workflows in Lifecycle workflows,"Allows the app to create, update, list, read and delete all workflows and tasks in lifecycle workflows on behalf of a signed-in user.",Yes,Medium,55,false,Low-risk or narrow resource access,LifecycleWorkflows-Workflow,ReadWrite,All,Delegated/user-bounded permission,true,false,true,true,true,false,false,false,false,false,false,false,true,Review context / prefer least-privileged alternative,,delegated token; bounded by signed-in user privileges; admin consent required; tenant/org/all scope; write/manage/action capability; delete/full-control/destructive capability,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
LifecycleWorkflows.ReadWrite.All,Delegated,84b9d731-7db8-4454-8c90-fd9e95350179,Read and write all lifecycle workflows resources,"Allows the app to create, update, list, read and delete all workflows, tasks and related lifecycle workflows resources on behalf of the signed-in user.",Yes,Medium,55,false,Low-risk or narrow resource access,LifecycleWorkflows,ReadWrite,All,Delegated/user-bounded permission,true,false,true,true,true,false,false,false,false,false,false,false,true,Review context / prefer least-privileged alternative,,delegated token; bounded by signed-in user privileges; admin consent required; tenant/org/all scope; write/manage/action capability; delete/full-control/destructive capability,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
Mail.Send,Delegated,e383f46e-2787-4529-855e-0e479a3ffac0,Send mail as a user,Allows the app to send mail as users in the organization.,No,Medium,55,false,Mailbox access / mail send,Mail,Send,,Delegated/user-bounded permission,true,false,true,false,false,true,false,false,false,true,false,false,false,Review context / prefer least-privileged alternative,"For application mail access, restrict mailbox scope with Exchange application access controls/RBAC where possible.",delegated token; bounded by signed-in user privileges; tenant/org/all scope; write/manage/action capability; send/notification/impersonation-abuse capability; business/collaboration/user data exposure; send capability minimum risk floor,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
ManagedTenants.ReadWrite.All,Delegated,b31fa710-c9b3-4d9e-8f5e-8036eecddab9,Read and write all managed tenant information,Allows the app to read and write all managed tenant information on behalf of the signed-in user.,Yes,Medium,55,false,Device / endpoint management,ManagedTenants,ReadWrite,All,Delegated/user-bounded permission,true,false,true,true,false,false,false,false,false,false,false,true,false,Review context / prefer least-privileged alternative,Restrict to approved endpoint-management automation and monitor device/action changes.,delegated token; bounded by signed-in user privileges; admin consent required; tenant/org/all scope; write/manage/action capability; endpoint/device-management surface,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
MultiTenantOrganization.ReadWrite.All,Delegated,77af1528-84f3-4023-8d90-d219cd433108,Read and write multi-tenant organization details and tenants,Allows the app to read and write multi-tenant organization details and tenants on behalf of the signed-in user.,Yes,Medium,55,false,Low-risk or narrow resource access,MultiTenantOrganization,ReadWrite,All,Delegated/user-bounded permission,true,false,true,true,false,false,false,false,false,false,false,false,false,Review context / prefer least-privileged alternative,,delegated token; bounded by signed-in user privileges; admin consent required; tenant/org/all scope; write/manage/action capability,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
MutualTlsOauthConfiguration.ReadWrite.All,Delegated,a51115bc-f64f-498f-bcee-00dcd28f4a03,Read and write all configurations used for mutual-TLS client authentication.,"Allows the app to read and update configuration used for OAuth 2.0 mutual-TLS client authentication, on behalf of the signed-in user. This includes adding and updating trusted certificate authorities.",Yes,Medium,55,true,Authentication / identity policy / credential control,MutualTlsOauthConfiguration,ReadWrite,All,Delegated/user-bounded permission,true,false,true,true,false,false,false,false,true,false,false,false,false,Review context / prefer least-privileged alternative,,"delegated token; bounded by signed-in user privileges; admin consent required; tenant/org/all scope; write/manage/action capability; authentication, credential, consent, or policy surface",Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
NetworkAccess.ReadWrite.All,Delegated,ae2df9c5-f18d-4ec4-a51b-bdeb807f177b,Read and write all network access information,Allows the app to read and write all network access information and configuration settings on behalf of the signed-in user.,Yes,Medium,55,false,Low-risk or narrow resource access,NetworkAccess,ReadWrite,All,Delegated/user-bounded permission,true,false,true,true,false,false,false,false,false,false,false,false,false,Review context / prefer least-privileged alternative,,delegated token; bounded by signed-in user privileges; admin consent required; tenant/org/all scope; write/manage/action capability,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
NetworkAccessBranch.ReadWrite.All,Delegated,b8a36cc2-b810-461a-baa4-a7281e50bd5c,Read and write properties of branches for network access,Allows the app to read and write your organization's branches for network access on behalf of the signed-in user.,Yes,Medium,55,false,Low-risk or narrow resource access,NetworkAccessBranch,ReadWrite,All,Delegated/user-bounded permission,true,false,true,true,false,false,false,false,false,false,false,false,false,Review context / prefer least-privileged alternative,,delegated token; bounded by signed-in user privileges; admin consent required; tenant/org/all scope; write/manage/action capability,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
NetworkAccessPolicy.ReadWrite.All,Delegated,b1fbad0f-ef6e-42ed-8676-bca7fa3e7291,Read and write security and routing policies for network access,Allows the app to read and write your organization's security and routing network access policies on behalf of the signed-in user.,Yes,Medium,55,false,Security / audit / compliance data,NetworkAccessPolicy,ReadWrite,All,Delegated/user-bounded permission,true,false,true,true,false,false,false,false,false,false,true,false,false,Review context / prefer least-privileged alternative,Restrict to approved security tooling; monitor for mass export or write actions.,delegated token; bounded by signed-in user privileges; admin consent required; tenant/org/all scope; write/manage/action capability; security/audit/compliance data exposure,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
Notes.ReadWrite.All,Delegated,64ac0503-b4fa-45d9-b544-71a463f05da0,Read and write all OneNote notebooks that user can access,"Allows the app to read, share, and modify OneNote notebooks that the signed-in user has access to in the organization.",No,Medium,55,false,Business data / collaboration data,Notes,ReadWrite,All,Delegated/user-bounded permission,true,false,true,true,false,false,false,false,false,true,false,false,false,Review context / prefer least-privileged alternative,,delegated token; bounded by signed-in user privileges; tenant/org/all scope; write/manage/action capability; business/collaboration/user data exposure,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
OnPremDirectorySynchronization.ReadWrite.All,Delegated,c2d95988-7604-4ba1-aaed-38a5f82a51c7,Read and write all on-premises directory synchronization information,"Allows the app to read and write all on-premises directory synchronization information for the organization, on behalf of the signed-in user.",Yes,Medium,55,false,Low-risk or narrow resource access,OnPremDirectorySynchronization,ReadWrite,All,Delegated/user-bounded permission,true,false,true,true,false,false,false,false,false,false,false,false,false,Review context / prefer least-privileged alternative,,delegated token; bounded by signed-in user privileges; admin consent required; tenant/org/all scope; write/manage/action capability,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
OnPremisesPublishingProfiles.ReadWrite.All,Delegated,8c4d5184-71c2-4bf8-bb9d-bc3378c9ad42,Manage on-premises published resources,"Allows the app to manage hybrid identity service configuration by creating, viewing, updating and deleting on-premises published resources, on-premises agents and agent groups, on behalf of the signed-in user.",Yes,Medium,55,false,Business data / collaboration data,OnPremisesPublishingProfiles,ReadWrite,All,Delegated/user-bounded permission,true,false,true,true,true,false,false,false,false,true,false,false,true,Review context / prefer least-privileged alternative,,delegated token; bounded by signed-in user privileges; admin consent required; tenant/org/all scope; write/manage/action capability; delete/full-control/destructive capability; business/collaboration/user data exposure,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
OrgSettings-AppsAndServices.ReadWrite.All,Delegated,c167b0e7-47c0-48e8-9eee-9892f58018fa,Read and write organization-wide apps and services settings,Allows the app to read and write organization-wide apps and services settings on behalf of the signed-in user.,Yes,Medium,55,false,Low-risk or narrow resource access,OrgSettings-AppsAndServices,ReadWrite,All,Delegated/user-bounded permission,true,false,true,true,false,false,false,false,false,false,false,false,false,Review context / prefer least-privileged alternative,,delegated token; bounded by signed-in user privileges; admin consent required; tenant/org/all scope; write/manage/action capability,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
OrgSettings-DynamicsVoice.ReadWrite.All,Delegated,4cea26fb-6967-4234-82c4-c044414743f8,Read and write organization-wide Dynamics customer voice settings,Allows the app to read and write organization-wide Dynamics customer voice settings on behalf of the signed-in user.,Yes,Medium,55,false,Low-risk or narrow resource access,OrgSettings-DynamicsVoice,ReadWrite,All,Delegated/user-bounded permission,true,false,true,true,false,false,false,false,false,false,false,false,false,Review context / prefer least-privileged alternative,,delegated token; bounded by signed-in user privileges; admin consent required; tenant/org/all scope; write/manage/action capability,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
OrgSettings-Forms.ReadWrite.All,Delegated,346c19ff-3fb2-4e81-87a0-bac9e33990c1,Read and write organization-wide Microsoft Forms settings,Allows the app to read and write organization-wide Microsoft Forms settings on behalf of the signed-in user.,Yes,Medium,55,false,Low-risk or narrow resource access,OrgSettings-Forms,ReadWrite,All,Delegated/user-bounded permission,true,false,true,true,false,false,false,false,false,false,false,false,false,Review context / prefer least-privileged alternative,,delegated token; bounded by signed-in user privileges; admin consent required; tenant/org/all scope; write/manage/action capability,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
OrgSettings-Microsoft365Install.ReadWrite.All,Delegated,1ff35e91-19eb-42d8-aa2d-cc9891127ae5,Read and write organization-wide Microsoft 365 apps installation settings,Allows the app to read and write organization-wide Microsoft 365 apps installation settings on behalf of the signed-in user.,Yes,Medium,55,false,Low-risk or narrow resource access,OrgSettings-Microsoft365Install,ReadWrite,All,Delegated/user-bounded permission,true,false,true,true,false,false,false,false,false,false,false,false,false,Review context / prefer least-privileged alternative,,delegated token; bounded by signed-in user privileges; admin consent required; tenant/org/all scope; write/manage/action capability,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
OrgSettings-Todo.ReadWrite.All,Delegated,087502c2-5263-433e-abe3-8f77231a0627,Read and write organization-wide Microsoft To Do settings,Allows the app to read and write organization-wide Microsoft To Do settings on behalf of the signed-in user.,Yes,Medium,55,false,Low-risk or narrow resource access,OrgSettings-Todo,ReadWrite,All,Delegated/user-bounded permission,true,false,true,true,false,false,false,false,false,false,false,false,false,Review context / prefer least-privileged alternative,,delegated token; bounded by signed-in user privileges; admin consent required; tenant/org/all scope; write/manage/action capability,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
OrganizationalBranding.ReadWrite.All,Delegated,15ce63de-b141-4c9a-a9a5-241bf27c6aaf,Read and write organizational branding information,"Allows the app to read and write the organizational branding information, on behalf of the signed-in user.",Yes,Medium,55,false,Low-risk or narrow resource access,OrganizationalBranding,ReadWrite,All,Delegated/user-bounded permission,true,false,true,true,false,false,false,false,false,false,false,false,false,Review context / prefer least-privileged alternative,,delegated token; bounded by signed-in user privileges; admin consent required; tenant/org/all scope; write/manage/action capability,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
PartnerSecurity.ReadWrite.All,Delegated,0cd2c1f6-94a1-4075-ab8c-0b1aff2e1ad5,Read security alerts and update status of security alerts of customer with CSP relationship,Allows the app to read security alerts and update status of alerts of customer with CSP relationship on behalf of the partner signed-in user.,Yes,Medium,55,false,Security / audit / compliance data,PartnerSecurity,ReadWrite,All,Delegated/user-bounded permission,true,false,true,true,false,false,false,false,false,false,true,false,false,Review context / prefer least-privileged alternative,Restrict to approved security tooling; monitor for mass export or write actions.,delegated token; bounded by signed-in user privileges; admin consent required; tenant/org/all scope; write/manage/action capability; security/audit/compliance data exposure,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
